3262085.318565uV, 3262.085319mV, 3.262085V
3261976.838112uV, 3261.976838mV, 3.261977V
3261251.449585uV, 3261.251450mV, 3.261251V
3262671.232224uV, 3262.671232mV, 3.262671V
3261984.586716uV, 3261.984587mV, 3.261985V
3261325.955391uV, 3261.325955mV, 3.261326V
3262100.815773uV, 3262.100816mV, 3.262101V
3262132.406235uV, 3262.132406mV, 3.262132V
3261777.162552uV, 3261.777163mV, 3.261777V
3261402.249336uV, 3261.402249mV, 3.261402V
3261826.038361uV, 3261.826038mV, 3.261826V
3261986.374855uV, 3261.986375mV, 3.261986V
3262222.409248uV, 3262.222409mV, 3.262222V
3295130.133629uV, 3295.130134mV, 3.295130V
3283511.996269uV, 3283.511996mV, 3.283512V
3283327.817917uV, 3283.327818mV, 3.283328V
3284154.534340uV, 3284.154534mV, 3.284155V
3282245.993614uV, 3282.245994mV, 3.282246V
3281726.837158uV, 3281.726837mV, 3.281727V
3282269.239426uV, 3282.269239mV, 3.282269V
3282016.515732uV, 3282.016516mV, 3.282017V
3282628.655434uV, 3282.628655mV, 3.282629V
3282516.002655uV, 3282.516003mV, 3.282516V
3282201.886177uV, 3282.201886mV, 3.282202V
3282763.361931uV, 3282.763362mV, 3.282763V
3282518.982887uV, 3282.518983mV, 3.282519V
3281090.855598uV, 3281.090856mV, 3.281091V
3282099.366188uV, 3282.099366mV, 3.282099V
3281371.593475uV, 3281.371593mV, 3.281372V
3282405.138016uV, 3282.405138mV, 3.282405V
3281524.777412uV, 3281.524777mV, 3.281525V
3281644.582748uV, 3281.644583mV, 3.281645V
3281429.409981uV, 3281.429410mV, 3.281429V
3281261.324883uV, 3281.261325mV, 3.281261V
3280650.377274uV, 3280.650377mV, 3.280650V
3281754.255295uV, 3281.754255mV, 3.281754V
3282046.318054uV, 3282.046318mV, 3.282046V
3281410.932541uV, 3281.410933mV, 3.281411V
3281680.941582uV, 3281.680942mV, 3.281681V
3282045.722008uV, 3282.045722mV, 3.282046V
3282480.835915uV, 3282.480836mV, 3.282481V
3282513.618469uV, 3282.513618mV, 3.282514V
3281311.392784uV, 3281.311393mV, 3.281311V
3282566.070557uV, 3282.566071mV, 3.282566V
3283035.159111uV, 3283.035159mV, 3.283035V
3281977.176666uV, 3281.977177mV, 3.281977V
3282341.957092uV, 3282.341957mV, 3.282342V
3281996.846199uV, 3281.996846mV, 3.281997V
3282539.248466uV, 3282.539248mV, 3.282539V
3282851.576805uV, 3282.851577mV, 3.282852V
3282262.682915uV, 3282.262683mV, 3.282263V
3280917.406082uV, 3280.917406mV, 3.280917V
3281859.755516uV, 3281.859756mV, 3.281860V
3281683.921814uV, 3281.683922mV, 3.281684V
3282697.200775uV, 3282.697201mV, 3.282697V
3282352.685928uV, 3282.352686mV, 3.282353V
3281034.827232uV, 3281.034827mV, 3.281035V
3281743.526459uV, 3281.743526mV, 3.281744V
3281629.681587uV, 3281.629682mV, 3.281630V
3281374.573708uV, 3281.374574mV, 3.281375V
3280860.781670uV, 3280.860782mV, 3.280861V
3281728.625298uV, 3281.728625mV, 3.281729V
3282341.957092uV, 3282.341957mV, 3.282342V
3282057.642937uV, 3282.057643mV, 3.282058V
3281190.395355uV, 3281.190395mV, 3.281190V
3281787.037849uV, 3281.787038mV, 3.281787V
3282484.412193uV, 3282.484412mV, 3.282484V
3281595.706940uV, 3281.595707mV, 3.281596V
3280537.128448uV, 3280.537128mV, 3.280537V
3281418.085098uV, 3281.418085mV, 3.281418V
3281260.728836uV, 3281.260729mV, 3.281261V
3280921.578407uV, 3280.921578mV, 3.280922V
3281200.528145uV, 3281.200528mV, 3.281201V
3281467.556953uV, 3281.467557mV, 3.281468V
3281912.207603uV, 3281.912208mV, 3.281912V
3280841.112137uV, 3280.841112mV, 3.280841V
3282222.747803uV, 3282.222748mV, 3.282223V
3281362.652779uV, 3281.362653mV, 3.281363V
3281524.181366uV, 3281.524181mV, 3.281524V
3280315.399170uV, 3280.315399mV, 3.280315V
3281872.272491uV, 3281.872272mV, 3.281872V
3280295.133591uV, 3280.295134mV, 3.280295V
3281385.302544uV, 3281.385303mV, 3.281385V
3282104.134560uV, 3282.104135mV, 3.282104V
3281944.990158uV, 3281.944990mV, 3.281945V
3281847.238541uV, 3281.847239mV, 3.281847V
3280809.521675uV, 3280.809522mV, 3.280810V
3281176.686287uV, 3281.176686mV, 3.281177V
